-0x2fa4 SSL_ERROR_RECORD_OVERFLOW_ALERT
-0x2fa3 SSL_ERROR_UNKNOWN_CA_ALERT
-0x2fa2 SSL_ERROR_ACCESS_DENIED_ALERT
-0x2fa1 SSL_ERROR_DECODE_ERROR_ALERT
-0x2fa0 SSL_ERROR_DECRYPT_ERROR_ALERT
-0x2f9f SSL_ERROR_EXPORT_RESTRICTION_ALERT
-0x2f9e SSL_ERROR_PROTOCOL_VERSION_ALERT
-0x2f9d SSL_ERROR_INSUFFICIENT_SECURITY_ALERT
-0x2f9c SSL_ERROR_INTERNAL_ERROR_ALERT
-0x2f9b SSL_ERROR_USER_CANCELED_ALERT
-0x2f9a SSL_ERROR_NO_RENEGOTIATION_ALERT
-0x2f99 SSL_ERROR_SERVER_CACHE_NOT_CONFIGURED
-0x2f98 SSL_ERROR_UNSUPPORTED_EXTENSION_ALERT
-0x2f97 SSL_ERROR_CERTIFICATE_UNOBTAINABLE_ALERT
-0x2f96 SSL_ERROR_UNRECOGNIZED_NAME_ALERT
-0x2f95 SSL_ERROR_BAD_CERT_STATUS_RESPONSE_ALERT
-0x2f94 SSL_ERROR_BAD_CERT_HASH_VALUE_ALERT
-0x2f93 SSL_ERROR_RX_UNEXPECTED_NEW_SESSION_TICKET
-0x2f92 SSL_ERROR_RX_MALFORMED_NEW_SESSION_TICKET
-0x2f91 SSL_ERROR_DECOMPRESSION_FAILURE
-0x2f90 SSL_ERROR_RENEGOTIATION_NOT_ALLOWED
-0x2f8f SSL_ERROR_UNSAFE_NEGOTIATION
-0x2f8e SSL_ERROR_RX_UNEXPECTED_UNCOMPRESSED_RECORD
-0x2f8d SSL_ERROR_WEAK_SERVER_EPHEMERAL_DH_KEY
-0x2f8c SSL_ERROR_NEXT_PROTOCOL_DATA_INVALID
-0x2f8b SSL_ERROR_FEATURE_NOT_SUPPORTED_FOR_SSL2
-0x2f8a SSL_ERROR_FEATURE_NOT_SUPPORTED_FOR_SERVERS
-0x2f89 SSL_ERROR_FEATURE_NOT_SUPPORTED_FOR_CLIENTS
-0x2f88 SSL_ERROR_INVALID_VERSION_RANGE
-0x2f87 SSL_ERROR_CIPHER_DISALLOWED_FOR_VERSION
-0x2f86 SSL_ERROR_RX_MALFORMED_HELLO_VERIFY_REQUEST
-0x2f85 SSL_ERROR_RX_UNEXPECTED_HELLO_VERIFY_REQUEST
-0x2f84 SSL_ERROR_FEATURE_NOT_SUPPORTED_FOR_VERSION
-0x2f83 SSL_ERROR_RX_UNEXPECTED_CERT_STATUS
-0x2f82 SSL_ERROR_UNSUPPORTED_HASH_ALGORITHM
-0x2f81 SSL_ERROR_DIGEST_FAILURE
-0x2f80 SSL_ERROR_INCORRECT_SIGNATURE_ALGORITHM
-0x2f7f SSL_ERROR_NEXT_PROTOCOL_NO_CALLBACK
-0x2f7e SSL_ERROR_NEXT_PROTOCOL_NO_PROTOCOL
-0x2f7d SSL_ERROR_INAPPROPRIATE_FALLBACK_ALERT
-0x2f7c SSL_ERROR_WEAK_SERVER_CERT_KEY
-0x2f7b SSL_ERROR_RX_SHORT_DTLS_READ
-0x2f7a SSL_ERROR_NO_SUPPORTED_SIGNATURE_ALGORITHM
-0x2f79 SSL_ERROR_UNSUPPORTED_SIGNATURE_ALGORITHM
-0x2f78 SSL_ERROR_MISSING_EXTENDED_MASTER_SECRET
-0x2f77 SSL_ERROR_UNEXPECTED_EXTENDED_MASTER_SECRET
-0x2f76 SSL_ERROR_RX_MALFORMED_KEY_SHARE
-0x2f75 SSL_ERROR_MISSING_KEY_SHARE
-0x2f74 SSL_ERROR_RX_MALFORMED_ECDHE_KEY_SHARE
